uf,Abaixo do Básico,Básico,Adequado,Avançado
RO,51.2,43.8,5.0,0.0
AC,53.6,42.3,4.1,0.0
AM,64.4,32.6,2.9,0.0
RR,63.6,32.9,3.4,0.1
PA,59.1,37.5,3.3,0.0
AP,56.5,39.4,4.0,0.1
TO,56.2,39.9,3.8,0.0
MA,65.6,31.7,2.6,0.0
PI,54.9,41.1,4.0,0.0
CE,46.1,46.6,7.2,0.1
RN,50.5,41.8,7.5,0.1
PB,52.5,42.5,4.9,0.1
PE,44.3,49.1,6.5,0.1
AL,58.5,38.0,3.5,0.0
SE,59.5,36.9,3.5,0.1
BA,62.5,34.2,3.3,0.0
MG,46.6,47.1,6.3,0.1
ES,36.8,55.4,7.6,0.1
RJ,58.0,37.5,4.4,0.1
SP,43.8,49.8,6.3,0.1
PR,37.4,54.8,7.7,0.1
SC,45.5,48.5,6.0,0.1
RS,39.4,52.7,7.7,0.1
MS,50.5,44.7,4.8,0.0
MT,53.3,42.1,4.6,0.1
GO,38.7,54.3,6.8,0.1
DF,50.5,43.3,6.1,0.1
BR,49.5,44.9,5.6,0.1
