uf,Abaixo do Básico,Básico,Adequado,Avançado
RO,59.0,37.0,3.6,0.4
AC,62.0,35.5,2.3,0.2
AM,72.3,25.2,2.2,0.3
RR,70.8,26.1,2.5,0.6
PA,68.4,29.4,2.0,0.2
AP,69.2,28.6,1.9,0.3
TO,63.1,33.5,3.2,0.3
MA,73.3,24.4,2.1,0.3
PI,60.6,34.6,4.1,0.7
CE,54.7,37.1,6.8,1.4
RN,60.0,32.8,6.0,1.2
PB,62.4,33.6,3.6,0.5
PE,50.8,41.6,6.5,1.2
AL,64.8,31.5,2.9,0.9
SE,66.9,30.0,2.8,0.4
BA,71.2,26.3,2.2,0.3
MG,54.5,39.0,5.5,1.1
ES,44.1,46.8,7.8,1.3
RJ,68.7,27.7,2.9,0.7
SP,56.8,38.2,4.4,0.5
PR,46.8,46.6,5.9,0.8
SC,51.7,42.8,4.9,0.6
RS,49.4,42.7,6.7,1.2
MS,59.5,36.0,3.9,0.7
MT,62.1,34.4,3.2,0.3
GO,48.5,42.6,7.6,1.4
DF,60.8,34.2,4.0,0.9
BR,59.0,35.8,4.5,0.7
