"localidade","ano","taxa"
"Brasil",2016,68.3
"Brasil",2017,68.5
"Brasil",2018,69.2
"Brasil",2019,71.4
"Brasil",2022,75.3
"Brasil",2023,75.1
"Brasil",2024,76.8
"Brasil",2025,80.6
"Centro-Oeste",2016,70
"Centro-Oeste",2017,70.3
"Centro-Oeste",2018,71.6
"Centro-Oeste",2019,74.2
"Centro-Oeste",2022,77.6
"Centro-Oeste",2023,74.9
"Centro-Oeste",2024,77.5
"Centro-Oeste",2025,81.2
"Nordeste",2016,59
"Nordeste",2017,60.6
"Nordeste",2018,61.1
"Nordeste",2019,63.3
"Nordeste",2022,69.3
"Nordeste",2023,71.4
"Nordeste",2024,74
"Nordeste",2025,77.5
"Norte",2016,58.4
"Norte",2017,59.8
"Norte",2018,61.9
"Norte",2019,62.2
"Norte",2022,68.1
"Norte",2023,65.9
"Norte",2024,69.9
"Norte",2025,73.5
"Sudeste",2016,76.8
"Sudeste",2017,76.2
"Sudeste",2018,76.1
"Sudeste",2019,79.3
"Sudeste",2022,81.6
"Sudeste",2023,81
"Sudeste",2024,80.9
"Sudeste",2025,84.5
"Sul",2016,69.6
"Sul",2017,69.7
"Sul",2018,71.5
"Sul",2019,72.7
"Sul",2022,75.5
"Sul",2023,74.1
"Sul",2024,76.7
"Sul",2025,82.3
