"localidade","ano","motivo","valor"
"Brasil","2019","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","156"
"Brasil","2022","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","158"
"Brasil","2023","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","132"
"Brasil","2024","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","87"
"Brasil","2025","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","46"
"Brasil","2019","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","342"
"Brasil","2022","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","294"
"Brasil","2023","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","224"
"Brasil","2024","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","209"
"Brasil","2025","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","154"
"Brasil","2019","Não tem interesse","2822"
"Brasil","2022","Não tem interesse","2235"
"Brasil","2023","Não tem interesse","2092"
"Brasil","2024","Não tem interesse","1980"
"Brasil","2025","Não tem interesse","1926"
"Brasil","2019","Outro motivo","497"
"Brasil","2022","Outro motivo","569"
"Brasil","2023","Outro motivo","535"
"Brasil","2024","Outro motivo","499"
"Brasil","2025","Outro motivo","401"
"Brasil","2019","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","1899"
"Brasil","2022","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","1374"
"Brasil","2023","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","1351"
"Brasil","2024","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","1214"
"Brasil","2025","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","1115"
"Brasil","2019","Precisa trabalhar","4753"
"Brasil","2022","Precisa trabalhar","4281"
"Brasil","2023","Precisa trabalhar","4042"
"Brasil","2024","Precisa trabalhar","4068"
"Brasil","2025","Precisa trabalhar","3732"
"Brasil","2019","Problemas de saúde permanente","484"
"Brasil","2022","Problemas de saúde permanente","454"
"Brasil","2023","Problemas de saúde permanente","477"
"Brasil","2024","Problemas de saúde permanente","431"
"Brasil","2025","Problemas de saúde permanente","462"
"Centro-Oeste","2019","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","9"
"Centro-Oeste","2022","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","14"
"Centro-Oeste","2023","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","11"
"Centro-Oeste","2024","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","8"
"Centro-Oeste","2025","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","3"
"Centro-Oeste","2019","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","21"
"Centro-Oeste","2022","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","21"
"Centro-Oeste","2023","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","18"
"Centro-Oeste","2024","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","16"
"Centro-Oeste","2025","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","12"
"Centro-Oeste","2019","Não tem interesse","206"
"Centro-Oeste","2022","Não tem interesse","154"
"Centro-Oeste","2023","Não tem interesse","160"
"Centro-Oeste","2024","Não tem interesse","165"
"Centro-Oeste","2025","Não tem interesse","165"
"Centro-Oeste","2019","Outro motivo","41"
"Centro-Oeste","2022","Outro motivo","52"
"Centro-Oeste","2023","Outro motivo","41"
"Centro-Oeste","2024","Outro motivo","35"
"Centro-Oeste","2025","Outro motivo","24"
"Centro-Oeste","2019","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","148"
"Centro-Oeste","2022","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","91"
"Centro-Oeste","2023","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","102"
"Centro-Oeste","2024","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","91"
"Centro-Oeste","2025","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","76"
"Centro-Oeste","2019","Precisa trabalhar","407"
"Centro-Oeste","2022","Precisa trabalhar","432"
"Centro-Oeste","2023","Precisa trabalhar","367"
"Centro-Oeste","2024","Precisa trabalhar","336"
"Centro-Oeste","2025","Precisa trabalhar","330"
"Centro-Oeste","2019","Problemas de saúde permanente","31"
"Centro-Oeste","2022","Problemas de saúde permanente","28"
"Centro-Oeste","2023","Problemas de saúde permanente","29"
"Centro-Oeste","2024","Problemas de saúde permanente","25"
"Centro-Oeste","2025","Problemas de saúde permanente","28"
"Nordeste","2019","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","44"
"Nordeste","2022","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","43"
"Nordeste","2023","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","39"
"Nordeste","2024","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","24"
"Nordeste","2025","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","15"
"Nordeste","2019","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","109"
"Nordeste","2022","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","103"
"Nordeste","2023","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","72"
"Nordeste","2024","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","68"
"Nordeste","2025","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","45"
"Nordeste","2019","Não tem interesse","1114"
"Nordeste","2022","Não tem interesse","817"
"Nordeste","2023","Não tem interesse","754"
"Nordeste","2024","Não tem interesse","716"
"Nordeste","2025","Não tem interesse","732"
"Nordeste","2019","Outro motivo","146"
"Nordeste","2022","Outro motivo","183"
"Nordeste","2023","Outro motivo","190"
"Nordeste","2024","Outro motivo","156"
"Nordeste","2025","Outro motivo","128"
"Nordeste","2019","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","730"
"Nordeste","2022","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","568"
"Nordeste","2023","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","537"
"Nordeste","2024","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","506"
"Nordeste","2025","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","448"
"Nordeste","2019","Precisa trabalhar","1389"
"Nordeste","2022","Precisa trabalhar","1216"
"Nordeste","2023","Precisa trabalhar","1168"
"Nordeste","2024","Precisa trabalhar","1182"
"Nordeste","2025","Precisa trabalhar","1060"
"Nordeste","2019","Problemas de saúde permanente","187"
"Nordeste","2022","Problemas de saúde permanente","177"
"Nordeste","2023","Problemas de saúde permanente","167"
"Nordeste","2024","Problemas de saúde permanente","171"
"Nordeste","2025","Problemas de saúde permanente","169"
"Norte","2019","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","14"
"Norte","2022","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","19"
"Norte","2023","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","14"
"Norte","2024","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","10"
"Norte","2025","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","10"
"Norte","2019","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","73"
"Norte","2022","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","56"
"Norte","2023","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","53"
"Norte","2024","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","42"
"Norte","2025","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","35"
"Norte","2019","Não tem interesse","313"
"Norte","2022","Não tem interesse","250"
"Norte","2023","Não tem interesse","226"
"Norte","2024","Não tem interesse","198"
"Norte","2025","Não tem interesse","211"
"Norte","2019","Outro motivo","61"
"Norte","2022","Outro motivo","55"
"Norte","2023","Outro motivo","56"
"Norte","2024","Outro motivo","48"
"Norte","2025","Outro motivo","41"
"Norte","2019","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","277"
"Norte","2022","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","218"
"Norte","2023","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","211"
"Norte","2024","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","175"
"Norte","2025","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","184"
"Norte","2019","Precisa trabalhar","487"
"Norte","2022","Precisa trabalhar","421"
"Norte","2023","Precisa trabalhar","415"
"Norte","2024","Precisa trabalhar","422"
"Norte","2025","Precisa trabalhar","388"
"Norte","2019","Problemas de saúde permanente","49"
"Norte","2022","Problemas de saúde permanente","40"
"Norte","2023","Problemas de saúde permanente","51"
"Norte","2024","Problemas de saúde permanente","36"
"Norte","2025","Problemas de saúde permanente","40"
"Sudeste","2019","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","67"
"Sudeste","2022","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","59"
"Sudeste","2023","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","53"
"Sudeste","2024","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","32"
"Sudeste","2025","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","11"
"Sudeste","2019","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","102"
"Sudeste","2022","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","70"
"Sudeste","2023","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","55"
"Sudeste","2024","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","54"
"Sudeste","2025","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","49"
"Sudeste","2019","Não tem interesse","845"
"Sudeste","2022","Não tem interesse","704"
"Sudeste","2023","Não tem interesse","697"
"Sudeste","2024","Não tem interesse","647"
"Sudeste","2025","Não tem interesse","577"
"Sudeste","2019","Outro motivo","170"
"Sudeste","2022","Outro motivo","180"
"Sudeste","2023","Outro motivo","181"
"Sudeste","2024","Outro motivo","186"
"Sudeste","2025","Outro motivo","144"
"Sudeste","2019","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","549"
"Sudeste","2022","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","338"
"Sudeste","2023","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","340"
"Sudeste","2024","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","316"
"Sudeste","2025","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","285"
"Sudeste","2019","Precisa trabalhar","1660"
"Sudeste","2022","Precisa trabalhar","1485"
"Sudeste","2023","Precisa trabalhar","1377"
"Sudeste","2024","Precisa trabalhar","1395"
"Sudeste","2025","Precisa trabalhar","1349"
"Sudeste","2019","Problemas de saúde permanente","159"
"Sudeste","2022","Problemas de saúde permanente","141"
"Sudeste","2023","Problemas de saúde permanente","168"
"Sudeste","2024","Problemas de saúde permanente","143"
"Sudeste","2025","Problemas de saúde permanente","152"
"Sul","2019","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","22"
"Sul","2022","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","23"
"Sul","2023","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","15"
"Sul","2024","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","14"
"Sul","2025","Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)","6"
"Sul","2019","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","36"
"Sul","2022","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","44"
"Sul","2023","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","26"
"Sul","2024","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","28"
"Sul","2025","Não tem escola na localidade, vaga, o curso de interesse ou o turno desejado","12"
"Sul","2019","Não tem interesse","344"
"Sul","2022","Não tem interesse","309"
"Sul","2023","Não tem interesse","255"
"Sul","2024","Não tem interesse","253"
"Sul","2025","Não tem interesse","241"
"Sul","2019","Outro motivo","79"
"Sul","2022","Outro motivo","98"
"Sul","2023","Outro motivo","67"
"Sul","2024","Outro motivo","74"
"Sul","2025","Outro motivo","64"
"Sul","2019","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","195"
"Sul","2022","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","160"
"Sul","2023","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","163"
"Sul","2024","Por ter que cuidar dos afazeres domésticos ou de criança, adolescente, idoso ou pessoa com necessidades especiais","126"
